,道琼斯工业指数
,DJI.GI
日期,收盘价
Date,close
2000-09-08,11220.6500
2000-09-11,11195.4900
2000-09-12,11233.2300
2000-09-13,11182.1800
2000-09-14,11087.4700
2000-09-15,10927.0000
2000-09-18,10808.5200
2000-09-19,10789.2900
2000-09-20,10687.9200
2000-09-21,10765.5200
2000-09-22,10847.3700
2000-09-25,10808.1500
2000-09-26,10631.3200
2000-09-27,10628.3600
2000-09-28,10824.0600
2000-09-29,10650.9200
2000-10-09,10568.4300
2000-10-10,10524.4000
2000-10-11,10413.7900
2000-10-12,10034.5800
2000-10-13,10192.1800
2000-10-16,10238.8000
2000-10-17,10089.7100
2000-10-18,9975.0200
2000-10-19,10142.9800
2000-10-20,10226.5900
2000-10-23,10271.7200
2000-10-24,10393.0700
2000-10-25,10326.4800
2000-10-26,10380.1200
2000-10-27,10590.6200
2000-10-30,10835.7700
2000-10-31,10971.1400
2000-11-01,10899.4700
2000-11-02,10880.5100
2000-11-03,10817.9500
2000-11-06,10977.2100
2000-11-07,10952.1800
2000-11-08,10907.0600
2000-11-09,10834.2500
2000-11-10,10602.9500
2000-11-13,10517.2500
2000-11-14,10681.0600
2000-11-15,10707.6000
2000-11-16,10656.0300
2000-11-17,10629.8700
2000-11-20,10462.6500
2000-11-21,10494.5000
2000-11-22,10399.3200
2000-11-23,10399.3200
2000-11-24,10470.2300
2000-11-27,10546.0700
2000-11-28,10507.5800
2000-11-29,10629.1100
2000-11-30,10414.4900
2000-12-01,10373.5400
2000-12-04,10560.1000
2000-12-05,10898.7200
2000-12-06,10664.3800
2000-12-07,10617.3600
2000-12-08,10712.9100
2000-12-11,10725.8000
2000-12-12,10768.2700
2000-12-13,10794.4400
2000-12-14,10674.9900
2000-12-15,10434.9600
2000-12-18,10645.4200
2000-12-19,10584.3700
2000-12-20,10318.9300
2000-12-21,10487.2900
2000-12-22,10635.5600
2000-12-25,10635.5600
2000-12-26,10692.4400
2000-12-27,10803.1600
2000-12-28,10868.7600
2000-12-29,10786.8500
2001-01-02,10646.1500
2001-01-03,10945.7500
2001-01-04,10912.4100
2001-01-05,10662.0100
2001-01-08,10621.3500
2001-01-09,10572.5500
2001-01-10,10604.2700
2001-01-11,10609.5500
2001-01-12,10525.3800
2001-01-15,10525.3800
2001-01-16,10652.6600
2001-01-17,10584.3400
2001-01-18,10678.2800
2001-01-19,10587.5900
2001-02-05,10965.8500
2001-02-06,10957.4200
2001-02-07,10946.7200
2001-02-08,10880.5500
2001-02-09,10781.4500
2001-02-12,10946.7700
2001-02-13,10903.3200
2001-02-14,10795.4100
2001-02-15,10891.0200
2001-02-16,10799.8200
2001-02-19,10799.8200
2001-02-20,10730.8800
2001-02-21,10526.5800
2001-02-22,10526.8100
2001-02-23,10441.9000
2001-02-26,10642.5300
2001-02-27,10636.8800
2001-02-28,10495.2800
2001-03-01,10450.1400
2001-03-02,10466.3100
2001-03-05,10562.3000
2001-03-06,10591.2200
2001-03-07,10729.6000
2001-03-08,10858.2500
2001-03-09,10644.6200
2001-03-12,10208.2500
2001-03-13,10290.8000
2001-03-14,9973.4600
2001-03-15,10031.2800
2001-03-16,9823.4100
2001-03-19,9959.1100
2001-03-20,9720.7600
2001-03-21,9487.0000
2001-03-22,9389.4800
2001-03-23,9504.7800
2001-03-26,9687.5300
2001-03-27,9947.5400
2001-03-28,9785.3500
2001-03-29,9799.0600
2001-03-30,9878.7800
2001-04-02,9777.9300
2001-04-03,9485.7100
2001-04-04,9515.4200
2001-04-05,9918.0500
2001-04-06,9791.0900
2001-04-09,9845.1500
2001-04-10,10102.7400
2001-04-11,10013.4700
2001-04-12,10126.9400
2001-04-13,10126.9400
2001-04-16,10158.5600
2001-04-17,10216.7300
2001-04-18,10615.8300
2001-04-19,10693.7100
2001-04-20,10579.8500
2001-04-23,10532.2300
2001-04-24,10454.3400
2001-04-25,10625.2000
2001-04-26,10692.3500
2001-04-27,10810.0500
2001-04-30,10734.9700
2001-05-08,10883.5100
2001-05-09,10866.9800
2001-05-10,10910.4400
2001-05-11,10821.3100
2001-05-14,10877.3300
2001-05-15,10872.9700
2001-05-16,11215.9200
2001-05-17,11248.5800
2001-05-18,11301.7400
2001-05-21,11337.9200
2001-05-22,11257.2400
2001-05-23,11105.5100
2001-05-24,11122.4200
2001-05-25,11005.3700
2001-05-28,11005.3700
2001-05-29,11039.1400
2001-05-30,10872.6400
2001-05-31,10911.9400
2001-06-01,10990.4100
2001-06-04,11061.5200
2001-06-05,11175.8400
2001-06-06,11070.2400
2001-06-07,11090.7400
2001-06-08,10977.0000
2001-06-11,10922.0900
2001-06-12,10948.3800
2001-06-13,10871.6200
2001-06-14,10690.1300
2001-06-15,10623.6400
2001-06-18,10645.3800
2001-06-19,10596.6700
2001-06-20,10647.3300
2001-06-21,10715.4300
2001-06-22,10604.5900
2001-06-25,10504.2200
2001-06-26,10472.4800
2001-06-27,10434.8400
2001-06-28,10566.2100
2001-06-29,10502.4000
2001-07-02,10593.7200
2001-07-03,10571.1100
2001-07-04,10571.1100
2001-07-05,10479.8600
2001-07-06,10252.6800
2001-07-09,10299.4000
2001-07-10,10175.6400
2001-07-11,10241.0200
2001-07-12,10478.9900
2001-07-13,10539.0600
2001-07-16,10472.1200
2001-07-17,10606.3900
2001-07-18,10569.8300
2001-07-19,10610.0000
2001-07-20,10576.6500
2001-07-23,10424.4200
2001-07-24,10241.1200
2001-07-25,10405.6700
2001-07-26,10455.6300
2001-07-27,10416.6700
2001-07-30,10401.7200
2001-07-31,10522.8100
2001-08-01,10510.0100
2001-08-02,10551.1800
2001-08-03,10512.7800
2001-08-06,10401.3100
2001-08-07,10458.7400
2001-08-08,10293.5000
2001-08-09,10298.5600
2001-08-10,10416.2500
2001-08-13,10415.9100
2001-08-14,10412.1700
2001-08-15,10345.9500
2001-08-16,10392.5200
2001-08-17,10240.7800
2001-08-20,10320.0700
2001-08-21,10174.1400
2001-08-22,10276.9000
2001-08-23,10229.1500
2001-08-24,10423.1700
2001-08-27,10382.3500
2001-08-28,10222.0300
2001-08-29,10090.9000
2001-08-30,9919.5800
2001-08-31,9949.7500
2001-09-03,9949.7500
2001-09-04,9997.4900
2001-09-05,10033.2700
2001-09-06,9840.8400
2001-09-07,9605.8500
2001-09-10,9605.5100
2001-09-11,9605.5100
2001-09-12,9605.5100
2001-09-13,9605.5100
2001-09-14,9605.5100
2001-09-17,8920.7000
2001-09-18,8903.4000
2001-09-19,8759.1300
2001-09-20,8376.2100
2001-09-21,8235.8100
2001-09-24,8603.8600
2001-09-25,8659.9700
2001-09-26,8567.3900
2001-09-27,8681.4200
2001-09-28,8847.5600
2001-10-08,9067.9400
2001-10-09,9052.4400
2001-10-10,9240.8600
2001-10-11,9410.4500
2001-10-12,9344.1600
2001-10-15,9347.6200
2001-10-16,9384.2300
2001-10-17,9232.9700
2001-10-18,9163.2200
2001-10-19,9204.1100
2001-10-22,9377.0300
2001-10-23,9340.0800
2001-10-24,9345.6200
2001-10-25,9462.9000
2001-10-26,9545.1700
2001-10-29,9269.5000
2001-10-30,9121.9800
2001-10-31,9075.1400
2001-11-01,9263.9000
2001-11-02,9323.5400
2001-11-05,9441.0300
2001-11-06,9591.1200
2001-11-07,9554.3700
2001-11-08,9587.5200
2001-11-09,9608.0000
2001-11-12,9554.3700
2001-11-13,9750.9500
2001-11-14,9823.6100
2001-11-15,9872.3900
2001-11-16,9866.9900
2001-11-19,9976.4600
2001-11-20,9901.3800
2001-11-21,9834.6800
2001-11-22,9834.6800
2001-11-23,9959.7100
2001-11-26,9982.7500
2001-11-27,9872.6000
2001-11-28,9711.8600
2001-11-29,9829.4200
2001-11-30,9851.5600
2001-12-03,9763.9600
2001-12-04,9893.8400
2001-12-05,10114.2900
2001-12-06,10099.1400
2001-12-07,10049.4600
2001-12-10,9921.4500
2001-12-11,9888.3700
2001-12-12,9894.8100
2001-12-13,9766.4500
2001-12-14,9811.1500
2001-12-17,9891.9700
2001-12-18,9998.3900
2001-12-19,10070.4900
2001-12-20,9985.1800
2001-12-21,10035.3400
2001-12-24,10035.3400
2001-12-25,10035.3400
2001-12-26,10088.1400
2001-12-27,10131.3100
2001-12-28,10136.9900
2001-12-31,10021.5000
2002-01-04,10259.7400
2002-01-07,10197.0500
2002-01-08,10150.5500
2002-01-09,10094.0900
2002-01-10,10067.8600
2002-01-11,9987.5300
2002-01-14,9891.4200
2002-01-15,9924.1500
2002-01-16,9712.2700
2002-01-17,9850.0400
2002-01-18,9771.8500
2002-01-21,9771.8500
2002-01-22,9713.8000
2002-01-23,9730.9600
2002-01-24,9796.0700
2002-01-25,9840.0800
2002-01-28,9865.7500
2002-01-29,9618.2400
2002-01-30,9762.8600
2002-01-31,9920.0000
2002-02-01,9907.2600
2002-02-04,9687.0900
2002-02-05,9685.4300
2002-02-06,9653.3900
2002-02-07,9625.4400
2002-02-08,9744.2400
2002-02-25,10145.7100
2002-02-26,10115.2600
2002-02-27,10127.5800
2002-02-28,10106.1300
2002-03-01,10368.8600
2002-03-04,10586.8200
2002-03-05,10433.4100
2002-03-06,10574.2900
2002-03-07,10525.3700
2002-03-08,10572.4900
2002-03-11,10611.2400
2002-03-12,10632.3500
2002-03-13,10501.8500
2002-03-14,10517.1400
2002-03-15,10607.2300
2002-03-18,10577.7500
2002-03-19,10635.2500
2002-03-20,10501.5700
2002-03-21,10479.8400
2002-03-22,10427.6700
2002-03-25,10281.6700
2002-03-26,10353.3600
2002-03-27,10426.9100
2002-03-28,10403.9400
2002-03-29,10403.9400
2002-04-01,10362.7000
2002-04-02,10313.7100
2002-04-03,10198.2900
2002-04-04,10235.1700
2002-04-05,10271.6400
2002-04-08,10249.0800
2002-04-09,10208.6700
2002-04-10,10381.7300
2002-04-11,10176.0800
2002-04-12,10190.8200
2002-04-15,10093.6700
2002-04-16,10301.3200
2002-04-17,10220.7800
2002-04-18,10205.2800
2002-04-19,10257.1100
2002-04-22,10136.4300
2002-04-23,10089.2400
2002-04-24,10030.4300
2002-04-25,10035.0600
2002-04-26,9910.7200
2002-04-29,9819.8700
2002-04-30,9946.2200
2002-05-08,10141.8300
2002-05-09,10037.4200
2002-05-10,9939.9200
2002-05-13,10109.6600
2002-05-14,10298.1400
2002-05-15,10243.6800
2002-05-16,10289.2100
2002-05-17,10353.0800
2002-05-20,10229.5000
2002-05-21,10105.7100
2002-05-22,10157.8800
2002-05-23,10216.0800
2002-05-24,10104.2600
2002-05-27,10104.2600
2002-05-28,9981.5800
2002-05-29,9923.0400
2002-05-30,9911.6900
2002-05-31,9925.2500
2002-06-03,9709.7900
2002-06-04,9687.8400
2002-06-05,9796.8000
2002-06-06,9624.6400
2002-06-07,9589.6700
2002-06-10,9645.4000
2002-06-11,9517.2600
2002-06-12,9617.7100
2002-06-13,9502.8000
2002-06-14,9474.2100
2002-06-17,9687.4200
2002-06-18,9706.1200
2002-06-19,9561.5700
2002-06-20,9431.7700
2002-06-21,9253.7900
2002-06-24,9281.8200
2002-06-25,9126.8200
2002-06-26,9120.1100
2002-06-27,9269.9200
2002-06-28,9243.2600
2002-07-01,9109.7900
2002-07-02,9007.7500
2002-07-03,9054.9700
2002-07-04,9054.9700
2002-07-05,9379.5000
2002-07-08,9274.9000
2002-07-09,9096.0900
2002-07-10,8813.5000
2002-07-11,8801.5300
2002-07-12,8684.5300
2002-07-15,8639.1900
2002-07-16,8473.1100
2002-07-17,8542.4800
2002-07-18,8409.4900
2002-07-19,8019.2600
2002-07-22,7784.5800
2002-07-23,7702.3400
2002-07-24,8191.2900
2002-07-25,8186.3100
2002-07-26,8264.3900
2002-07-29,8711.8800
2002-07-30,8680.0300
2002-07-31,8736.5900
2002-08-01,8506.6200
2002-08-02,8313.1300
2002-08-05,8043.6300
2002-08-06,8274.0900
2002-08-07,8456.1500
2002-08-08,8712.0200
2002-08-09,8745.4500
2002-08-12,8688.8900
2002-08-13,8482.3900
2002-08-14,8743.3100
2002-08-15,8818.1400
2002-08-16,8778.0600
2002-08-19,8990.7900
2002-08-20,8872.0700
2002-08-21,8957.2300
2002-08-22,9053.6400
2002-08-23,8872.9600
2002-08-26,8919.0100
2002-08-27,8824.4100
2002-08-28,8694.0900
2002-08-29,8670.9900
2002-08-30,8663.5000
2002-09-02,8663.5000
2002-09-03,8308.0500
2002-09-04,8425.1200
2002-09-05,8283.7000
2002-09-06,8427.2000
2002-09-09,8519.3800
2002-09-10,8602.6100
2002-09-11,8581.1700
2002-09-12,8379.4100
2002-09-13,8312.6900
2002-09-16,8380.1800
2002-09-17,8207.5500
2002-09-18,8172.4500
2002-09-19,7942.3900
2002-09-20,7986.0200
2002-09-23,7872.1500
2002-09-24,7683.1300
2002-09-25,7841.8200
2002-09-26,7997.1200
2002-09-27,7701.4500
2002-10-08,7501.4900
2002-10-09,7286.2700
2002-10-10,7533.9500
2002-10-11,7850.2900
2002-10-14,7877.4000
2002-10-15,8255.6800
2002-10-16,8036.0300
2002-10-17,8275.0400
2002-10-18,8322.4000
2002-10-21,8538.2400
2002-10-22,8450.1600
2002-10-23,8494.2700
2002-10-24,8317.3400
2002-10-25,8443.9900
2002-10-28,8368.0400
2002-10-29,8368.9400
2002-10-30,8427.4100
2002-10-31,8397.0300
2002-11-01,8517.6400
2002-11-04,8571.6000
2002-11-05,8678.2700
2002-11-06,8771.0100
2002-11-07,8586.2400
2002-11-08,8537.1300
2002-11-11,8358.9500
2002-11-12,8386.0000
2002-11-13,8398.4900
2002-11-14,8542.1300
2002-11-15,8579.0900
2002-11-18,8486.5700
2002-11-19,8474.7800
2002-11-20,8623.0100
2002-11-21,8845.1500
2002-11-22,8804.8400
2002-11-25,8849.4000
2002-11-26,8676.4200
2002-11-27,8931.6800
2002-11-28,8931.6800
2002-11-29,8896.0900
2002-12-02,8862.5700
2002-12-03,8742.9300
2002-12-04,8737.8500
2002-12-05,8623.2800
2002-12-06,8645.7700
2002-12-09,8473.4100
2002-12-10,8574.2600
2002-12-11,8589.1400
2002-12-12,8538.4000
2002-12-13,8433.7100
2002-12-16,8627.4000
2002-12-17,8535.3900
2002-12-18,8447.3500
2002-12-19,8364.8000
2002-12-20,8511.3200
2002-12-23,8493.2900
2002-12-24,8448.1100
2002-12-25,8448.1100
2002-12-26,8432.6100
2002-12-27,8303.7800
2002-12-30,8332.8500
2002-12-31,8341.6300
2003-01-02,8607.5200
2003-01-03,8601.6900
2003-01-06,8773.5700
2003-01-07,8740.5900
2003-01-08,8595.3100
2003-01-09,8776.1800
2003-01-10,8784.8900
2003-01-13,8785.9800
2003-01-14,8842.6200
2003-01-15,8723.1800
2003-01-16,8697.8700
2003-01-17,8586.7400
2003-01-20,8586.7400
2003-01-21,8442.9000
2003-01-22,8318.7300
2003-01-23,8369.4700
2003-01-24,8131.0100
2003-01-27,7989.5600
2003-01-28,8088.8400
2003-01-29,8110.7100
2003-02-10,7920.1100
2003-02-11,7843.1100
2003-02-12,7758.1700
2003-02-13,7749.8700
2003-02-14,7908.8000
2003-02-17,7908.8000
2003-02-18,8041.1500
2003-02-19,8000.6000
2003-02-20,7914.9600
2003-02-21,8018.1100
2003-02-24,7858.2400
2003-02-25,7909.5000
2003-02-26,7806.9800
2003-02-27,7884.9900
2003-02-28,7891.0800
2003-03-03,7837.8600
2003-03-04,7704.8700
2003-03-05,7775.6000
2003-03-06,7673.9900
2003-03-07,7740.0300
2003-03-10,7568.1800
2003-03-11,7524.0600
2003-03-12,7552.0700
2003-03-13,7821.7500
2003-03-14,7859.7100
2003-03-17,8141.9200
2003-03-18,8194.2300
2003-03-19,8265.4500
2003-03-20,8286.6000
2003-03-21,8521.9700
2003-03-24,8214.6800
2003-03-25,8280.2300
2003-03-26,8229.8800
2003-03-27,8201.4500
2003-03-28,8145.7700
2003-03-31,7992.1300
2003-04-01,8069.8600
2003-04-02,8285.0600
2003-04-03,8240.3800
2003-04-04,8277.1500
2003-04-07,8300.4100
2003-04-08,8298.9200
2003-04-09,8197.9400
2003-04-10,8221.3300
2003-04-11,8203.4100
2003-04-14,8351.1000
2003-04-15,8402.3600
2003-04-16,8257.6100
2003-04-17,8337.6500
2003-04-18,8337.6500
2003-04-21,8328.9000
2003-04-22,8484.9900
2003-04-23,8515.6600
2003-04-24,8440.0400
2003-04-25,8306.3500
2003-04-28,8471.6100
2003-04-29,8502.9900
2003-04-30,8480.0900
2003-05-12,8726.7300
2003-05-13,8679.2500
2003-05-14,8647.8200
2003-05-15,8713.1400
2003-05-16,8678.9700
2003-05-19,8493.3900
2003-05-20,8491.3600
2003-05-21,8516.4300
2003-05-22,8594.0200
2003-05-23,8601.3800
2003-05-26,8601.3800
2003-05-27,8781.3500
2003-05-28,8793.1200
2003-05-29,8711.1800
2003-05-30,8850.2600
2003-06-02,8897.8100
2003-06-03,8922.9500
2003-06-04,9038.9800
2003-06-05,9041.3000
2003-06-06,9062.7900
2003-06-09,8980.0000
2003-06-10,9054.8900
2003-06-11,9183.2200
2003-06-12,9196.5500
2003-06-13,9117.1200
2003-06-16,9318.9600
2003-06-17,9323.0200
2003-06-18,9293.8000
2003-06-19,9179.5300
2003-06-20,9200.7500
2003-06-23,9072.9500
2003-06-24,9109.8500
2003-06-25,9011.5300
2003-06-26,9079.0400
2003-06-27,8989.0500
2003-06-30,8985.4400
2003-07-01,9040.9500
2003-07-02,9142.8400
2003-07-03,9070.2100
2003-07-04,9070.2100
2003-07-07,9216.7900
2003-07-08,9223.0900
2003-07-09,9156.2100
2003-07-10,9036.0400
2003-07-11,9119.5900
2003-07-14,9177.1500
2003-07-15,9128.9700
2003-07-16,9094.5900
2003-07-17,9050.8200
2003-07-18,9188.1500
2003-07-21,9096.6900
2003-07-22,9158.4500
2003-07-23,9194.2400
2003-07-24,9112.5100
2003-07-25,9284.5700
2003-07-28,9266.5100
2003-07-29,9204.4600
2003-07-30,9200.0500
2003-07-31,9233.8000
2003-08-01,9153.9700
2003-08-04,9186.0400
2003-08-05,9036.3200
2003-08-06,9061.7400
2003-08-07,9126.4500
2003-08-08,9191.0900
2003-08-11,9217.3500
2003-08-12,9310.0600
2003-08-13,9271.7600
2003-08-14,9310.5600
2003-08-15,9321.6900
2003-08-18,9412.4500
2003-08-19,9428.9000
2003-08-20,9397.5100
2003-08-21,9423.6800
2003-08-22,9348.8700
2003-08-25,9317.6400
2003-08-26,9340.4500
2003-08-27,9333.7900
2003-08-28,9374.2100
2003-08-29,9415.8200
2003-09-01,9415.8200
2003-09-02,9523.2700
2003-09-03,9568.4600
2003-09-04,9587.9000
2003-09-05,9503.3400
2003-09-08,9586.2900
2003-09-09,9507.2000
2003-09-10,9420.4600
2003-09-11,9459.7600
2003-09-12,9471.5500
2003-09-15,9448.8100
2003-09-16,9567.3400
2003-09-17,9545.6500
2003-09-18,9659.1300
2003-09-19,9644.8200
2003-09-22,9535.4100
2003-09-23,9576.0400
2003-09-24,9425.5100
2003-09-25,9343.9600
2003-09-26,9313.0800
2003-09-29,9380.2400
2003-09-30,9275.0600
2003-10-08,9630.9000
2003-10-09,9680.0100
2003-10-10,9674.6800
2003-10-13,9764.3800
2003-10-14,9812.9800
2003-10-15,9803.0500
2003-10-16,9791.7200
2003-10-17,9721.7900
2003-10-20,9777.9400
2003-10-21,9747.6400
2003-10-22,9598.2400
2003-10-23,9613.1300
2003-10-24,9582.4600
2003-10-27,9608.1600
2003-10-28,9748.3100
2003-10-29,9774.5300
2003-10-30,9786.6100
2003-10-31,9801.1200
2003-11-03,9858.4600
2003-11-04,9838.8300
2003-11-05,9820.8300
2003-11-06,9856.9700
2003-11-07,9809.7900
2003-11-10,9756.5300
2003-11-11,9737.7900
2003-11-12,9848.8300
2003-11-13,9837.9400
2003-11-14,9768.6800
2003-11-17,9710.8300
2003-11-18,9624.1600
2003-11-19,9690.4600
2003-11-20,9619.4200
2003-11-21,9628.5300
2003-11-24,9747.7900
2003-11-25,9763.9400
2003-11-26,9779.5700
2003-11-27,9779.5700
2003-11-28,9782.4600
2003-12-01,9899.0500
2003-12-02,9853.6400
2003-12-03,9873.4200
2003-12-04,9930.8200
2003-12-05,9862.6800
2003-12-08,9965.2700
2003-12-09,9923.4200
2003-12-10,9921.8600
2003-12-11,10008.1600
2003-12-12,10042.1600
2003-12-15,10022.8200
2003-12-16,10129.5600
2003-12-17,10145.2600
2003-12-18,10248.0800
2003-12-19,10278.2200
2003-12-22,10338.0000
2003-12-23,10341.2600
2003-12-24,10305.1900
2003-12-25,10305.1900
2003-12-26,10324.6700
2003-12-29,10450.0000
2003-12-30,10425.0400
2003-12-31,10453.9200
2004-01-02,10409.8500
2004-01-05,10544.0700
2004-01-06,10538.6600
2004-01-07,10529.0300
2004-01-08,10592.4400
2004-01-09,10458.8900
2004-01-12,10485.1800
2004-01-13,10427.1800
2004-01-14,10538.3700
2004-01-15,10553.8500
2004-01-16,10600.5100
2004-01-29,10510.2900
2004-01-30,10488.0700
2004-02-02,10499.1800
2004-02-03,10505.1800
2004-02-04,10470.7400
2004-02-05,10495.5500
2004-02-06,10593.0300
2004-02-09,10579.0300
2004-02-10,10613.8500
2004-02-11,10737.7000
2004-02-12,10694.0700
2004-02-13,10627.8500
2004-02-16,10627.8500
2004-02-17,10714.8800
2004-02-18,10671.9900
2004-02-19,10664.7300
2004-02-20,10619.0300
2004-02-23,10609.6200
2004-02-24,10566.3700
2004-02-25,10601.6200
2004-02-26,10580.1400
2004-02-27,10583.9200
2004-03-01,10678.1400
2004-03-02,10591.4800
2004-03-03,10593.1100
2004-03-04,10588.0000
2004-03-05,10595.5500
2004-03-08,10529.4800
2004-03-09,10456.9600
2004-03-10,10296.8900
2004-03-11,10128.3800
2004-03-12,10240.0800
2004-03-15,10102.8900
2004-03-16,10184.6700
2004-03-17,10300.3000
2004-03-18,10295.7800
2004-03-19,10186.6000
2004-03-22,10064.7500
2004-03-23,10063.6400
2004-03-24,10048.2300
2004-03-25,10218.8200
2004-03-26,10212.9700
2004-03-29,10329.6300
2004-03-30,10381.7000
2004-03-31,10357.7000
2004-04-01,10373.3300
2004-04-02,10470.5900
2004-04-05,10558.3700
2004-04-06,10570.8100
2004-04-07,10480.1500
2004-04-08,10442.0300
2004-04-09,10442.0300
2004-04-12,10515.5600
2004-04-13,10381.2800
2004-04-14,10377.9500
2004-04-15,10397.4600
2004-04-16,10451.9700
2004-04-19,10437.8500
2004-04-20,10314.5000
2004-04-21,10317.2700
2004-04-22,10461.2000
2004-04-23,10472.8400
2004-04-26,10444.7300
2004-04-27,10478.1600
2004-04-28,10342.6000
2004-04-29,10272.2700
2004-04-30,10225.5700
2004-05-10,9990.0200
2004-05-11,10019.4700
2004-05-12,10045.1600
2004-05-13,10010.7400
2004-05-14,10012.8700
2004-05-17,9906.9100
2004-05-18,9968.5100
2004-05-19,9937.7100
2004-05-20,9937.6400
2004-05-21,9966.7400
2004-05-24,9958.4300
2004-05-25,10117.6200
2004-05-26,10109.8900
2004-05-27,10205.2000
2004-05-28,10188.4500
2004-05-31,10188.4500
2004-06-01,10202.6500
2004-06-02,10262.9700
2004-06-03,10195.9100
2004-06-04,10242.8200
2004-06-07,10391.0800
2004-06-08,10432.5200
2004-06-09,10368.4400
2004-06-10,10410.1000
2004-06-11,10410.1000
2004-06-14,10334.7300
2004-06-15,10380.4300
2004-06-16,10379.5800
2004-06-17,10377.5200
2004-06-18,10416.4100
2004-06-21,10371.4700
2004-06-22,10395.0700
2004-06-23,10479.5700
2004-06-24,10443.8100
2004-06-25,10371.8400
2004-06-28,10357.0900
2004-06-29,10413.4300
2004-06-30,10435.4800
2004-07-01,10334.1600
2004-07-02,10282.8300
2004-07-05,10282.8300
2004-07-06,10219.3400
2004-07-07,10240.2900
2004-07-08,10171.5600
2004-07-09,10213.2200
2004-07-12,10238.2200
2004-07-13,10247.5900
2004-07-14,10208.8000
2004-07-15,10163.1600
