,纳斯达克指数
2000-05-29,3205.1100
2000-05-30,3459.4800
2000-05-31,3400.9100
2000-06-01,3582.5000
2000-06-02,3813.3800
2000-06-05,3821.7600
2000-06-06,3756.3700
2000-06-07,3839.2600
2000-06-08,3825.5600
2000-06-09,3874.8400
2000-06-12,3767.9100
2000-06-13,3851.0600
2000-06-14,3797.4100
2000-06-15,3845.7400
2000-06-16,3860.5600
2000-06-19,3989.8300
2000-06-20,4013.3600
2000-06-21,4064.0100
2000-06-22,3936.8400
2000-06-23,3845.3400
2000-06-26,3912.1200
2000-06-27,3858.9600
2000-06-28,3940.3400
2000-06-29,3877.2300
2000-06-30,3966.1100
2000-07-03,3991.9300
2000-07-04,3991.9300
2000-07-05,3863.1000
2000-07-06,3960.5700
2000-07-07,4023.2000
2000-07-10,3980.2900
2000-07-11,3956.4200
2000-07-12,4099.5900
2000-07-13,4174.8600
2000-07-14,4246.1800
2000-07-17,4274.6700
2000-07-18,4177.1700
2000-07-19,4055.6300
2000-07-20,4184.5600
2000-07-21,4094.4500
2000-07-24,3981.5700
2000-07-25,4029.5700
2000-07-26,3987.7200
2000-07-27,3842.2300
2000-07-28,3663.0000
2000-07-31,3766.9900
2000-08-01,3685.5200
2000-08-02,3658.4600
2000-08-03,3759.8800
2000-08-04,3787.3600
2000-08-07,3862.9900
2000-08-08,3848.5500
2000-08-09,3853.5000
2000-08-10,3759.9900
2000-08-11,3789.4700
2000-08-14,3849.6900
2000-08-15,3851.6600
2000-08-16,3861.2000
2000-08-17,3940.8700
2000-08-18,3930.3400
2000-08-21,3953.1500
2000-08-22,3958.2100
2000-08-23,4011.0100
2000-08-24,4053.2800
2000-08-25,4042.6800
2000-08-28,4070.5900
2000-08-29,4082.1700
2000-08-30,4103.8100
2000-08-31,4206.3500
2000-09-01,4234.3300
2000-09-04,4234.3300
2000-09-05,4143.1800
2000-09-06,4013.3400
2000-09-07,4098.3500
2000-09-08,3978.4100
2000-09-11,3896.3500
2000-09-12,3849.5100
2000-09-13,3893.8900
2000-09-14,3913.8600
2000-09-15,3835.2300
2000-09-18,3726.5200
2000-09-19,3865.6400
2000-09-20,3897.4400
2000-09-21,3828.8700
2000-09-22,3803.7600
2000-09-25,3741.2200
2000-09-26,3689.1000
2000-09-27,3656.3000
2000-09-28,3778.3200
2000-09-29,3672.8200
2000-10-09,3355.5600
2000-10-10,3240.5400
2000-10-11,3168.4900
2000-10-12,3074.6800
2000-10-13,3316.7700
2000-10-16,3290.2800
2000-10-17,3213.9600
2000-10-18,3171.5600
2000-10-19,3418.6000
2000-10-20,3483.1400
2000-10-23,3468.6900
2000-10-24,3419.7900
2000-10-25,3229.5700
2000-10-26,3272.1800
2000-10-27,3278.3600
2000-10-30,3191.4000
2000-10-31,3369.6300
2000-11-01,3333.3900
2000-11-02,3429.0200
2000-11-03,3451.5800
2000-11-06,3416.2100
2000-11-07,3415.7900
2000-11-08,3231.7000
2000-11-09,3200.3500
2000-11-10,3028.9900
2000-11-13,2966.7200
2000-11-14,3138.2700
2000-11-15,3165.4900
2000-11-16,3031.8800
2000-11-17,3027.1900
2000-11-20,2875.6400
2000-11-21,2871.4500
2000-11-22,2755.3400
2000-11-23,2755.3400
2000-11-24,2904.3800
2000-11-27,2880.4900
2000-11-28,2734.9800
2000-11-29,2706.9300
2000-11-30,2597.9300
2000-12-01,2645.2900
2000-12-04,2615.7500
2000-12-05,2889.8000
2000-12-06,2796.5000
2000-12-07,2752.6600
2000-12-08,2917.4300
2000-12-11,3015.1000
2000-12-12,2931.7700
2000-12-13,2822.7700
2000-12-14,2728.5100
2000-12-15,2653.2700
2000-12-18,2624.5200
2000-12-19,2511.7100
2000-12-20,2332.7800
2000-12-21,2340.1200
2000-12-22,2517.0200
2000-12-25,2517.0200
2000-12-26,2493.5200
2000-12-27,2539.3500
2000-12-28,2557.7600
2000-12-29,2470.5200
2001-01-02,2291.8600
2001-01-03,2616.6900
2001-01-04,2566.8300
2001-01-05,2407.6500
2001-01-08,2395.9200
2001-01-09,2441.3000
2001-01-10,2524.1800
2001-01-11,2640.5700
2001-01-12,2626.5000
2001-01-15,2626.5000
2001-01-16,2618.5500
2001-01-17,2682.7800
2001-01-18,2768.4900
2001-01-19,2770.3800
2001-02-05,2643.2100
2001-02-06,2664.4900
2001-02-07,2607.8200
2001-02-08,2562.0600
2001-02-09,2470.9700
2001-02-12,2489.6600
2001-02-13,2427.7200
2001-02-14,2491.4000
2001-02-15,2552.9100
2001-02-16,2425.3800
2001-02-19,2425.3800
2001-02-20,2318.3500
2001-02-21,2268.9400
2001-02-22,2244.9600
2001-02-23,2262.5100
2001-02-26,2308.5000
2001-02-27,2207.8200
2001-02-28,2151.8300
2001-03-01,2183.3700
2001-03-02,2117.6300
2001-03-05,2142.9200
2001-03-06,2204.4300
2001-03-07,2223.9200
2001-03-08,2168.7300
2001-03-09,2052.7800
2001-03-12,1923.3800
2001-03-13,2014.7800
2001-03-14,1972.0900
2001-03-15,1940.7100
2001-03-16,1890.9100
2001-03-19,1951.1800
2001-03-20,1857.4400
2001-03-21,1830.2300
2001-03-22,1897.7000
2001-03-23,1928.6800
2001-03-26,1918.4900
2001-03-27,1972.2600
2001-03-28,1854.1300
2001-03-29,1820.5700
2001-03-30,1840.2600
2001-04-02,1782.9700
2001-04-03,1673.0000
2001-04-04,1638.8000
2001-04-05,1785.0000
2001-04-06,1720.3600
2001-04-09,1745.7100
2001-04-10,1852.0300
2001-04-11,1898.9500
2001-04-12,1961.4300
2001-04-13,1961.4300
2001-04-16,1909.5700
2001-04-17,1923.2200
2001-04-18,2079.4400
2001-04-19,2182.1400
2001-04-20,2163.4100
2001-04-23,2059.3200
2001-04-24,2016.6100
2001-04-25,2059.8000
2001-04-26,2034.8800
2001-04-27,2075.6800
2001-04-30,2116.2400
2001-05-08,2198.7700
2001-05-09,2156.6300
2001-05-10,2128.8600
2001-05-11,2107.4300
2001-05-14,2081.9200
2001-05-15,2085.5800
2001-05-16,2166.4400
2001-05-17,2193.6800
2001-05-18,2198.8800
2001-05-21,2305.5900
2001-05-22,2313.8500
2001-05-23,2243.4800
2001-05-24,2282.0200
2001-05-25,2251.0300
2001-05-28,2251.0300
2001-05-29,2175.5400
2001-05-30,2084.5000
2001-05-31,2110.4900
2001-06-01,2149.4400
2001-06-04,2155.9300
2001-06-05,2233.6600
2001-06-06,2217.7300
2001-06-07,2264.0000
2001-06-08,2215.1000
2001-06-11,2170.7800
2001-06-12,2169.9500
2001-06-13,2121.6600
2001-06-14,2044.0700
2001-06-15,2028.4300
2001-06-18,1988.6300
2001-06-19,1992.6600
2001-06-20,2031.2400
2001-06-21,2058.7600
2001-06-22,2034.8400
2001-06-25,2050.8700
2001-06-26,2064.6200
2001-06-27,2074.7400
2001-06-28,2125.4600
2001-06-29,2161.2400
2001-07-02,2148.7200
2001-07-03,2140.8000
2001-07-04,2140.8000
2001-07-05,2080.1100
2001-07-06,2004.1600
2001-07-09,2026.7100
2001-07-10,1962.7900
2001-07-11,1972.0400
2001-07-12,2075.7400
2001-07-13,2084.7900
2001-07-16,2029.1200
2001-07-17,2067.3200
2001-07-18,2016.1700
2001-07-19,2046.5900
2001-07-20,2029.3700
2001-07-23,1988.5600
2001-07-24,1959.2400
2001-07-25,1984.3200
2001-07-26,2022.9600
2001-07-27,2029.0700
2001-07-30,2017.8400
2001-07-31,2027.1300
2001-08-01,2068.3800
2001-08-02,2087.3800
2001-08-03,2066.3300
2001-08-06,2034.2600
2001-08-07,2027.7900
2001-08-08,1966.3600
2001-08-09,1963.3200
2001-08-10,1956.4700
2001-08-13,1982.2500
2001-08-14,1964.5300
2001-08-15,1918.8900
2001-08-16,1930.3200
2001-08-17,1867.0100
2001-08-20,1881.3500
2001-08-21,1831.3000
2001-08-22,1860.0100
2001-08-23,1842.9700
2001-08-24,1916.8000
2001-08-27,1912.4100
2001-08-28,1864.9800
2001-08-29,1843.1700
2001-08-30,1791.6800
2001-08-31,1805.4300
2001-09-03,1805.4300
2001-09-04,1770.7800
2001-09-05,1759.0100
2001-09-06,1705.6400
2001-09-07,1687.7000
2001-09-10,1695.3800
2001-09-11,1695.3800
2001-09-12,1695.3800
2001-09-13,1695.3800
2001-09-14,1695.3800
2001-09-17,1579.5500
2001-09-18,1555.0800
2001-09-19,1527.8000
2001-09-20,1470.9300
2001-09-21,1423.1900
2001-09-24,1499.4000
2001-09-25,1501.6400
2001-09-26,1464.0400
2001-09-27,1460.7100
2001-09-28,1498.8000
2001-10-08,1605.9500
2001-10-09,1570.1900
2001-10-10,1626.2600
2001-10-11,1701.4700
2001-10-12,1703.4000
2001-10-15,1696.3100
2001-10-16,1722.0700
2001-10-17,1646.3400
2001-10-18,1652.7200
2001-10-19,1671.3100
2001-10-22,1708.0800
2001-10-23,1704.4400
2001-10-24,1731.5400
2001-10-25,1775.4700
2001-10-26,1768.9600
2001-10-29,1699.5200
2001-10-30,1667.4100
2001-10-31,1690.2000
2001-11-01,1746.3000
2001-11-02,1745.7300
2001-11-05,1793.6500
2001-11-06,1835.0800
2001-11-07,1837.5300
2001-11-08,1827.7700
2001-11-09,1828.4800
2001-11-12,1840.1300
2001-11-13,1892.1100
2001-11-14,1903.1900
2001-11-15,1900.5700
2001-11-16,1898.5800
2001-11-19,1934.4200
2001-11-20,1880.5100
2001-11-21,1875.0500
2001-11-22,1875.0500
2001-11-23,1903.2000
2001-11-26,1941.2300
2001-11-27,1935.9700
2001-11-28,1887.9700
2001-11-29,1933.2600
2001-11-30,1930.5800
2001-12-03,1904.9000
2001-12-04,1963.1000
2001-12-05,2046.8400
2001-12-06,2054.2700
2001-12-07,2021.2600
2001-12-10,1992.1200
2001-12-11,2001.9300
2001-12-12,2011.3800
2001-12-13,1946.5100
2001-12-14,1953.1700
2001-12-17,1987.4500
2001-12-18,2004.7600
2001-12-19,1982.8900
2001-12-20,1918.5400
2001-12-21,1945.8300
2001-12-24,1944.4800
2001-12-25,1944.4800
2001-12-26,1960.7000
2001-12-27,1976.4200
2001-12-28,1987.2600
2001-12-31,1950.4000
2002-01-04,2059.3800
2002-01-07,2037.1000
2002-01-08,2055.7400
2002-01-09,2044.8900
2002-01-10,2047.2400
2002-01-11,2022.4600
2002-01-14,1990.7400
2002-01-15,2000.9100
2002-01-16,1944.4400
2002-01-17,1985.8200
2002-01-18,1930.3400
2002-01-21,1930.3400
2002-01-22,1882.5700
2002-01-23,1922.3800
2002-01-24,1942.5800
2002-01-25,1937.7000
2002-01-28,1943.9100
2002-01-29,1892.9900
2002-01-30,1913.4400
2002-01-31,1934.0300
2002-02-01,1911.2400
2002-02-04,1855.5300
2002-02-05,1838.5200
2002-02-06,1812.7100
2002-02-07,1782.1100
2002-02-08,1818.8800
2002-02-25,1769.8800
2002-02-26,1766.8600
2002-02-27,1751.8800
2002-02-28,1731.4900
2002-03-01,1802.7400
2002-03-04,1859.3200
2002-03-05,1866.2900
2002-03-06,1890.4000
2002-03-07,1881.6300
2002-03-08,1929.6700
2002-03-11,1929.4900
2002-03-12,1897.1200
2002-03-13,1862.0300
2002-03-14,1854.1400
2002-03-15,1868.3000
2002-03-18,1877.0600
2002-03-19,1880.8700
2002-03-20,1832.8700
2002-03-21,1868.8300
2002-03-22,1851.3900
2002-03-25,1812.4900
2002-03-26,1824.1700
2002-03-27,1826.7500
2002-03-28,1845.3500
2002-03-29,1845.3500
2002-04-01,1862.6200
2002-04-02,1804.4000
2002-04-03,1784.3500
2002-04-04,1789.7500
2002-04-05,1770.0300
2002-04-08,1785.8700
2002-04-09,1742.5700
2002-04-10,1767.0700
2002-04-11,1725.2400
2002-04-12,1756.1900
2002-04-15,1753.7800
2002-04-16,1816.7900
2002-04-17,1810.6700
2002-04-18,1802.4300
2002-04-19,1796.8300
2002-04-22,1758.6800
2002-04-23,1730.2900
2002-04-24,1713.3400
2002-04-25,1713.7000
2002-04-26,1663.8900
2002-04-29,1656.9300
2002-04-30,1688.2300
2002-05-08,1696.2900
2002-05-09,1650.4900
2002-05-10,1600.8500
2002-05-13,1652.5400
2002-05-14,1719.0500
2002-05-15,1725.5600
2002-05-16,1730.4400
2002-05-17,1741.3900
2002-05-20,1701.5900
2002-05-21,1664.1800
2002-05-22,1673.4500
2002-05-23,1697.6300
2002-05-24,1661.4900
2002-05-27,1661.4900
2002-05-28,1652.1700
2002-05-29,1624.3900
2002-05-30,1631.9200
2002-05-31,1615.7300
2002-06-03,1562.5600
2002-06-04,1578.1200
2002-06-05,1595.2600
2002-06-06,1554.8800
2002-06-07,1535.4800
2002-06-10,1530.6900
2002-06-11,1497.1800
2002-06-12,1519.1200
2002-06-13,1496.8600
2002-06-14,1504.7400
2002-06-17,1553.2900
2002-06-18,1542.9600
2002-06-19,1496.8300
2002-06-20,1464.7500
2002-06-21,1440.9600
2002-06-24,1460.3400
2002-06-25,1423.9900
2002-06-26,1429.3300
2002-06-27,1459.2000
2002-06-28,1463.2100
2002-07-01,1403.8000
2002-07-02,1357.8200
2002-07-03,1380.1700
2002-07-04,1380.1700
2002-07-05,1448.3600
2002-07-08,1405.6100
2002-07-09,1381.1200
2002-07-10,1346.0100
2002-07-11,1374.4300
2002-07-12,1373.5000
2002-07-15,1382.6200
2002-07-16,1375.2600
2002-07-17,1397.2500
2002-07-18,1356.9500
2002-07-19,1319.1500
2002-07-22,1282.6500
2002-07-23,1229.0500
2002-07-24,1290.2300
2002-07-25,1240.0800
2002-07-26,1262.1200
2002-07-29,1335.2500
2002-07-30,1344.1900
2002-07-31,1328.2600
2002-08-01,1280.0000
2002-08-02,1247.9200
2002-08-05,1206.0100
2002-08-06,1259.5500
2002-08-07,1280.9000
2002-08-08,1316.5200
2002-08-09,1306.1200
2002-08-12,1306.8400
2002-08-13,1269.2800
2002-08-14,1334.3000
2002-08-15,1345.0100
2002-08-16,1361.0100
2002-08-19,1394.5400
2002-08-20,1376.5900
2002-08-21,1409.2500
2002-08-22,1422.9500
2002-08-23,1380.6200
2002-08-26,1391.7400
2002-08-27,1347.7800
2002-08-28,1314.3800
2002-08-29,1335.7700
2002-08-30,1314.8500
2002-09-02,1314.8500
2002-09-03,1263.8400
2002-09-04,1292.3100
2002-09-05,1251.0000
2002-09-06,1295.3000
2002-09-09,1304.6000
2002-09-10,1320.0900
2002-09-11,1315.4500
2002-09-12,1279.6800
2002-09-13,1291.4000
2002-09-16,1275.8800
2002-09-17,1259.9400
2002-09-18,1252.1300
2002-09-19,1216.4500
2002-09-20,1221.0900
2002-09-23,1184.9300
2002-09-24,1182.1700
2002-09-25,1222.2900
2002-09-26,1221.6100
2002-09-27,1199.1600
2002-10-08,1129.2100
2002-10-09,1114.1100
2002-10-10,1163.3700
2002-10-11,1210.4700
2002-10-14,1220.5300
2002-10-15,1282.4400
2002-10-16,1232.4200
2002-10-17,1272.2900
2002-10-18,1287.8600
2002-10-21,1309.6700
2002-10-22,1292.8000
2002-10-23,1320.2300
2002-10-24,1298.7100
2002-10-25,1331.1300
2002-10-28,1315.8300
2002-10-29,1300.5400
2002-10-30,1326.7300
2002-10-31,1329.7500
2002-11-01,1360.7000
2002-11-04,1396.5400
2002-11-05,1401.1700
2002-11-06,1418.9900
2002-11-07,1376.7100
2002-11-08,1359.2800
2002-11-11,1319.1900
2002-11-12,1349.5600
2002-11-13,1361.3400
2002-11-14,1411.5200
2002-11-15,1411.1400
2002-11-18,1393.6900
2002-11-19,1374.5100
2002-11-20,1419.3500
2002-11-21,1467.5500
2002-11-22,1468.7400
2002-11-25,1481.9000
2002-11-26,1444.4300
2002-11-27,1487.9400
2002-11-28,1487.9400
2002-11-29,1478.7800
2002-12-02,1484.7800
2002-12-03,1448.9600
2002-12-04,1430.3500
2002-12-05,1410.7500
2002-12-06,1422.4400
2002-12-09,1367.1400
2002-12-10,1390.7600
2002-12-11,1396.5900
2002-12-12,1399.5500
2002-12-13,1362.4200
2002-12-16,1400.3300
2002-12-17,1392.0500
2002-12-18,1361.5100
2002-12-19,1354.1000
2002-12-20,1363.0500
2002-12-23,1381.6900
2002-12-24,1372.4700
2002-12-25,1372.4700
2002-12-26,1367.8900
2002-12-27,1348.3100
2002-12-30,1339.5400
2002-12-31,1335.5100
2003-01-02,1384.8500
2003-01-03,1387.0800
2003-01-06,1421.3200
2003-01-07,1431.5700
2003-01-08,1401.0700
2003-01-09,1438.4600
2003-01-10,1447.7200
2003-01-13,1446.0400
2003-01-14,1460.9900
2003-01-15,1438.8000
2003-01-16,1423.7500
2003-01-17,1376.1900
2003-01-20,1376.1900
2003-01-21,1364.2500
2003-01-22,1359.4800
2003-01-23,1388.2700
2003-01-24,1342.1400
2003-01-27,1325.2700
2003-01-28,1342.1800
2003-01-29,1358.0600
2003-02-10,1296.6800
2003-02-11,1295.4600
2003-02-12,1278.9700
2003-02-13,1277.4400
2003-02-14,1310.1700
2003-02-17,1310.1700
2003-02-18,1346.5400
2003-02-19,1334.3200
2003-02-20,1331.2300
2003-02-21,1349.0200
2003-02-24,1322.3800
2003-02-25,1328.9800
2003-02-26,1303.6800
2003-02-27,1323.9400
2003-02-28,1337.5200
2003-03-03,1320.2900
2003-03-04,1307.7700
2003-03-05,1314.4000
2003-03-06,1302.8900
2003-03-07,1305.2900
2003-03-10,1278.3700
2003-03-11,1271.4700
2003-03-12,1279.2400
2003-03-13,1340.7700
2003-03-14,1340.3300
2003-03-17,1392.2700
2003-03-18,1400.5500
2003-03-19,1397.0700
2003-03-20,1402.7700
2003-03-21,1421.8400
2003-03-24,1369.7800
2003-03-25,1391.0100
2003-03-26,1387.4500
2003-03-27,1384.2500
2003-03-28,1369.6000
2003-03-31,1341.1700
2003-04-01,1348.3000
2003-04-02,1396.7200
2003-04-03,1396.5800
2003-04-04,1383.5100
2003-04-07,1389.5100
2003-04-08,1382.9400
2003-04-09,1356.7400
2003-04-10,1365.6100
2003-04-11,1358.8500
2003-04-14,1384.9500
2003-04-15,1391.0100
2003-04-16,1394.7200
2003-04-17,1425.5000
2003-04-18,1425.5000
2003-04-21,1424.3700
2003-04-22,1451.3600
2003-04-23,1466.1600
2003-04-24,1457.2300
2003-04-25,1434.5400
2003-04-28,1462.2400
2003-04-29,1471.3000
2003-04-30,1464.3100
2003-05-12,1541.4000
2003-05-13,1539.6800
2003-05-14,1534.9000
2003-05-15,1551.3800
2003-05-16,1538.5300
2003-05-19,1492.7700
2003-05-20,1491.0900
2003-05-21,1489.8700
2003-05-22,1507.5500
2003-05-23,1510.0900
2003-05-26,1510.0900
2003-05-27,1556.6900
2003-05-28,1563.2400
2003-05-29,1574.9500
2003-05-30,1595.9100
2003-06-02,1590.7500
2003-06-03,1603.5600
2003-06-04,1634.6500
2003-06-05,1646.0100
2003-06-06,1627.4200
2003-06-09,1603.9700
2003-06-10,1627.6700
2003-06-11,1646.0200
2003-06-12,1653.6200
2003-06-13,1626.4900
2003-06-16,1666.5800
2003-06-17,1668.4400
2003-06-18,1677.1400
2003-06-19,1648.6400
2003-06-20,1644.7200
2003-06-23,1610.7500
2003-06-24,1605.6100
2003-06-25,1602.6600
2003-06-26,1634.0100
2003-06-27,1625.2600
2003-06-30,1622.8000
2003-07-01,1640.1300
2003-07-02,1678.7300
2003-07-03,1663.4600
2003-07-04,1663.4600
2003-07-07,1720.7100
2003-07-08,1746.4600
2003-07-09,1747.4600
2003-07-10,1715.8600
2003-07-11,1733.9300
2003-07-14,1754.8200
2003-07-15,1753.2100
2003-07-16,1747.9700
2003-07-17,1698.0200
2003-07-18,1708.5000
2003-07-21,1681.4100
2003-07-22,1706.1000
2003-07-23,1719.1800
2003-07-24,1701.4200
2003-07-25,1730.7000
2003-07-28,1735.3600
2003-07-29,1731.3700
2003-07-30,1720.9100
2003-07-31,1735.0200
2003-08-01,1715.6200
2003-08-04,1714.0600
2003-08-05,1673.5000
2003-08-06,1652.6800
2003-08-07,1652.1800
2003-08-08,1644.0300
2003-08-11,1661.5100
2003-08-12,1687.0100
2003-08-13,1686.6100
2003-08-14,1700.3400
2003-08-15,1702.0100
2003-08-18,1739.4900
2003-08-19,1761.1100
2003-08-20,1760.5400
2003-08-21,1777.5500
2003-08-22,1765.3200
2003-08-25,1764.3100
2003-08-26,1770.6500
2003-08-27,1782.1300
2003-08-28,1800.1800
2003-08-29,1810.4500
2003-09-01,1810.4500
2003-09-02,1841.4800
2003-09-03,1852.9000
2003-09-04,1868.9700
2003-09-05,1858.2400
2003-09-08,1888.6200
2003-09-09,1873.4300
2003-09-10,1823.8100
2003-09-11,1846.0900
2003-09-12,1855.0300
2003-09-15,1845.7000
2003-09-16,1887.2500
2003-09-17,1883.1000
2003-09-18,1909.5500
2003-09-19,1905.7000
2003-09-22,1874.6200
2003-09-23,1901.7200
2003-09-24,1843.7000
2003-09-25,1817.2400
2003-09-26,1792.0700
2003-09-29,1824.5600
2003-09-30,1786.9400
2003-10-08,1893.7800
2003-10-09,1911.9000
2003-10-10,1915.3100
2003-10-13,1933.5300
2003-10-14,1943.1900
2003-10-15,1939.1000
2003-10-16,1950.1400
2003-10-17,1912.3600
2003-10-20,1925.1400
2003-10-21,1940.9000
2003-10-22,1898.0700
2003-10-23,1885.5100
2003-10-24,1865.5900
2003-10-27,1882.9100
2003-10-28,1932.2600
2003-10-29,1936.5600
2003-10-30,1932.6900
2003-10-31,1932.2100
2003-11-03,1967.7000
2003-11-04,1957.9600
2003-11-05,1959.3700
2003-11-06,1976.3700
2003-11-07,1970.7400
2003-11-10,1941.6400
2003-11-11,1930.7500
2003-11-12,1973.1100
2003-11-13,1967.3500
2003-11-14,1930.2600
2003-11-17,1909.6100
2003-11-18,1881.7500
2003-11-19,1899.6500
2003-11-20,1881.9200
2003-11-21,1893.8800
2003-11-24,1947.1400
2003-11-25,1943.0400
2003-11-26,1953.3100
2003-11-27,1953.3100
2003-11-28,1960.2600
2003-12-01,1989.8200
2003-12-02,1980.0700
2003-12-03,1960.2500
2003-12-04,1968.8000
2003-12-05,1937.8200
2003-12-08,1948.8500
2003-12-09,1908.3200
2003-12-10,1904.6500
2003-12-11,1942.3200
2003-12-12,1949.0000
2003-12-15,1918.2600
2003-12-16,1924.2900
2003-12-17,1921.3300
2003-12-18,1956.1800
2003-12-19,1951.0200
2003-12-22,1955.8000
2003-12-23,1974.7800
2003-12-24,1969.2300
2003-12-25,1969.2300
2003-12-26,1973.1400
2003-12-29,2006.4800
2003-12-30,2009.8800
2003-12-31,2003.3700
2004-01-02,2006.6800
2004-01-05,2047.3600
2004-01-06,2057.3700
2004-01-07,2077.6800
2004-01-08,2100.2500
2004-01-09,2086.9200
2004-01-12,2111.7800
2004-01-13,2096.4400
2004-01-14,2111.1300
2004-01-15,2109.0800
2004-01-16,2140.4600
2004-01-29,2068.2300
2004-01-30,2066.1500
2004-02-02,2063.1500
2004-02-03,2066.2100
2004-02-04,2014.1400
2004-02-05,2019.5600
2004-02-06,2064.0100
2004-02-09,2060.5700
2004-02-10,2075.3300
2004-02-11,2089.6600
2004-02-12,2073.6100
2004-02-13,2053.5600
2004-02-16,2053.5600
2004-02-17,2080.3500
2004-02-18,2076.4700
2004-02-19,2045.9600
2004-02-20,2037.9300
2004-02-23,2007.5200
2004-02-24,2005.4400
2004-02-25,2022.9800
2004-02-26,2032.5700
2004-02-27,2029.8200
2004-03-01,2057.8000
2004-03-02,2039.6500
2004-03-03,2033.3600
2004-03-04,2055.1100
2004-03-05,2047.6300
2004-03-08,2008.7800
2004-03-09,1995.1600
2004-03-10,1964.1500
2004-03-11,1943.8900
2004-03-12,1984.7300
2004-03-15,1939.2000
2004-03-16,1943.0900
2004-03-17,1976.7600
2004-03-18,1962.4400
2004-03-19,1940.4700
2004-03-22,1909.9000
2004-03-23,1901.8000
2004-03-24,1909.4800
2004-03-25,1967.1700
2004-03-26,1960.0200
2004-03-29,1992.5700
2004-03-30,2000.6300
2004-03-31,1994.2200
2004-04-01,2015.0100
2004-04-02,2057.1700
2004-04-05,2079.1200
2004-04-06,2059.9000
2004-04-07,2050.2400
2004-04-08,2052.8800
2004-04-09,2052.8800
2004-04-12,2065.4800
2004-04-13,2030.0800
2004-04-14,2024.8500
2004-04-15,2002.1700
2004-04-16,1995.7400
2004-04-19,2020.4300
2004-04-20,1978.6300
2004-04-21,1995.6300
2004-04-22,2032.9100
2004-04-23,2049.7700
2004-04-26,2036.7700
2004-04-27,2032.5300
2004-04-28,1989.5400
2004-04-29,1958.7800
2004-04-30,1920.1500
2004-05-10,1896.0700
2004-05-11,1931.3500
2004-05-12,1925.5900
2004-05-13,1926.0300
2004-05-14,1904.2500
2004-05-17,1876.6400
2004-05-18,1897.8200
2004-05-19,1898.1700
2004-05-20,1896.5900
2004-05-21,1912.0900
2004-05-24,1922.9800
2004-05-25,1964.6500
2004-05-26,1976.1500
2004-05-27,1984.5000
2004-05-28,1986.7400
2004-05-31,1986.7400
2004-06-01,1990.7700
2004-06-02,1988.9800
2004-06-03,1960.2600
2004-06-04,1978.6200
2004-06-07,2020.6200
2004-06-08,2023.5300
2004-06-09,1990.6100
2004-06-10,1999.8700
2004-06-11,1999.8700
2004-06-14,1969.9900
2004-06-15,1995.6000
2004-06-16,1998.2300
2004-06-17,1983.6700
2004-06-18,1986.7300
2004-06-21,1974.3800
2004-06-22,1994.1500
2004-06-23,2020.9800
2004-06-24,2015.5700
2004-06-25,2025.4700
2004-06-28,2019.8200
2004-06-29,2034.9300
2004-06-30,2047.7900
2004-07-01,2015.5500
2004-07-02,2006.6600
2004-07-05,2006.6600
2004-07-06,1963.4300
2004-07-07,1966.0800
2004-07-08,1935.3200
2004-07-09,1946.3300
