,富时中国A50期货
,CN.SG
日期,收盘价
Date,close
2007-01-30,11007.0000
2007-01-31,10200.0000
2007-02-01,10100.0000
2007-02-02,9700.0000
2007-02-05,9560.0000
2007-02-06,9698.0000
2007-02-07,10100.0000
2007-02-08,9999.0000
2007-02-09,9830.0000
2007-02-12,10200.0000
2007-02-13,10250.0000
2007-02-14,10555.0000
2007-02-15,10750.0000
2007-02-16,
2007-02-26,
2007-02-27,10022.0000
2007-02-28,10190.0000
2007-03-01,10100.0000
2007-03-02,10100.0000
2007-03-05,9450.0000
2007-03-06,10145.0000
2007-03-07,10325.0000
2007-03-08,10500.0000
2007-03-09,10500.0000
2007-03-12,10570.0000
2007-03-13,
2007-03-14,
2007-03-15,
2007-03-16,
2007-03-19,10570.0000
2007-03-20,
2007-03-21,
2007-03-22,
2007-03-23,
2007-03-26,10900.0000
2007-03-27,10950.0000
2007-03-28,10900.0000
2007-03-29,11357.0000
2007-03-30,11340.0000
2007-04-02,
2007-04-03,11700.0000
2007-04-04,11700.0000
2007-04-05,
2007-04-06,
2007-04-09,
2007-04-10,12200.0000
2007-04-11,12500.0000
2007-04-12,12100.0000
2007-04-13,12548.0000
2007-04-16,12720.0000
2007-04-17,12750.0000
2007-04-18,12550.0000
2007-04-19,12300.0000
2007-04-20,
2007-04-23,
2007-04-24,12900.0000
2007-04-25,12930.0000
2007-04-26,13070.0000
2007-04-27,13000.0000
2007-04-30,12900.0000
2007-05-08,12900.0000
2007-05-09,13660.0000
2007-05-10,13750.0000
2007-05-11,13540.0000
2007-05-14,13585.0000
2007-05-15,
2007-05-16,13375.0000
2007-05-17,13650.0000
2007-05-18,13660.0000
2007-05-21,13700.0000
2007-05-22,
2007-05-23,13780.0000
2007-05-24,
2007-05-25,13800.0000
2007-05-28,
2007-05-29,14600.0000
2007-05-30,13810.0000
2007-05-31,13810.0000
2007-06-01,14000.0000
2007-06-04,13100.0000
2007-06-05,13450.0000
2007-06-06,13505.0000
2007-06-07,13450.0000
2007-06-08,13685.0000
2007-06-11,14050.0000
2007-06-12,14150.0000
2007-06-13,14500.0000
2007-06-14,14400.0000
2007-06-15,14550.0000
2007-06-18,
2007-06-19,
2007-06-20,15000.0000
2007-06-21,
2007-06-22,
2007-06-25,14750.0000
2007-06-26,14350.0000
2007-06-27,14700.0000
2007-06-28,14370.0000
2007-06-29,13779.0000
2007-07-02,13865.0000
2007-07-03,
2007-07-04,14000.0000
2007-07-05,13700.0000
2007-07-06,13500.0000
2007-07-09,14400.0000
2007-07-10,14700.0000
2007-07-11,14589.0000
2007-07-12,14800.0000
2007-07-13,15200.0000
2007-07-16,14500.0000
2007-07-17,14800.0000
2007-07-18,15000.0000
2007-07-19,15110.0000
2007-07-20,15550.0000
2007-07-23,16308.0000
2007-07-24,16450.0000
2007-07-25,
2007-07-26,16650.0000
2007-07-27,16500.0000
2007-07-30,17124.0000
2007-07-31,16900.0000
2007-08-01,16715.0000
2007-08-02,16710.0000
2007-08-03,18000.0000
2007-08-06,18299.0000
2007-08-07,18180.0000
2007-08-08,18200.0000
2007-08-09,18950.0000
2007-08-10,18585.0000
2007-08-13,18750.0000
2007-08-14,19000.0000
2007-08-15,18863.0000
2007-08-16,18200.0000
2007-08-17,17250.0000
2007-08-20,18750.0000
2007-08-21,19200.0000
2007-08-22,19500.0000
2007-08-23,19700.0000
2007-08-24,
2007-08-27,20500.0000
2007-08-28,20300.0000
2007-08-29,19900.0000
2007-08-30,20153.0000
2007-08-31,20050.0000
2007-09-03,20399.0000
2007-09-04,20388.0000
2007-09-05,20400.0000
2007-09-06,20200.0000
2007-09-07,
2007-09-10,20100.0000
2007-09-11,
2007-09-12,
2007-09-13,19900.0000
2007-09-14,20375.0000
2007-09-17,20800.0000
2007-09-18,20400.0000
2007-09-19,
2007-09-20,20700.0000
2007-09-21,20450.0000
2007-09-24,20800.0000
2007-09-25,20600.0000
2007-09-26,20500.0000
2007-09-27,20590.0000
2007-09-28,21300.0000
2007-10-08,21300.0000
2007-10-09,
2007-10-10,22414.0000
2007-10-11,22300.0000
2007-10-12,22763.0000
2007-10-15,22650.0000
2007-10-16,22500.0000
2007-10-17,22800.0000
2007-10-18,22015.0000
2007-10-19,
2007-10-22,21900.0000
2007-10-23,22100.0000
2007-10-24,
2007-10-25,
2007-10-26,
2007-10-29,22500.0000
2007-10-30,22730.0000
2007-10-31,23200.0000
2007-11-01,23005.0000
2007-11-02,22800.0000
2007-11-05,22500.0000
2007-11-06,21500.0000
2007-11-07,
2007-11-08,20693.0000
2007-11-09,20700.0000
2007-11-12,19600.0000
2007-11-13,20000.0000
2007-11-14,19940.0000
2007-11-15,20830.0000
2007-11-16,
2007-11-19,20000.0000
2007-11-20,20050.0000
2007-11-21,20300.0000
2007-11-22,19450.0000
2007-11-23,19200.0000
2007-11-26,19695.0000
2007-11-27,19090.0000
2007-11-28,18600.0000
2007-11-29,19530.0000
2007-11-30,19100.0000
2007-12-03,19400.0000
2007-12-04,19800.0000
2007-12-05,19900.0000
2007-12-06,20160.0000
2007-12-07,20250.0000
2007-12-10,20260.0000
2007-12-11,20100.0000
2007-12-12,19750.0000
2007-12-13,19180.0000
2007-12-14,19350.0000
2007-12-17,18700.0000
2007-12-18,18740.0000
2007-12-19,19000.0000
2007-12-20,19200.0000
2007-12-21,
2007-12-24,
2007-12-25,
2007-12-26,20350.0000
2007-12-27,20300.0000
2007-12-28,20565.0000
2008-01-02,20565.0000
2008-01-03,20000.0000
2008-01-04,20335.0000
2008-01-07,
2008-01-08,21000.0000
2008-01-09,21100.0000
2008-01-10,21500.0000
2008-01-11,21350.0000
2008-01-14,21605.0000
2008-01-15,21310.0000
2008-01-16,20135.0000
2008-01-17,19950.0000
2008-01-18,19950.0000
2008-01-21,18800.0000
2008-01-22,16950.0000
2008-01-23,17800.0000
2008-01-24,18000.0000
2008-01-25,18300.0000
2008-01-28,17500.0000
2008-01-29,17180.0000
2008-01-30,17100.0000
2008-01-31,17100.0000
2008-02-01,16700.0000
2008-02-04,18100.0000
2008-02-05,18370.0000
2008-02-13,18370.0000
2008-02-14,17800.0000
2008-02-15,17300.0000
2008-02-18,17900.0000
2008-02-19,18100.0000
2008-02-20,
2008-02-21,17325.0000
2008-02-22,
2008-02-25,
2008-02-26,15600.0000
2008-02-27,16100.0000
2008-02-28,16650.0000
2008-02-29,16650.0000
2008-03-03,17150.0000
2008-03-04,17000.0000
2008-03-05,16000.0000
2008-03-06,16400.0000
2008-03-07,16250.0000
2008-03-10,15450.0000
2008-03-11,15400.0000
2008-03-12,14960.0000
2008-03-13,14700.0000
2008-03-14,14550.0000
2008-03-17,14100.0000
2008-03-18,13590.0000
2008-03-19,14025.0000
2008-03-20,14280.0000
2008-03-21,14500.0000
2008-03-24,14130.0000
2008-03-25,13600.0000
2008-03-26,13950.0000
2008-03-27,13300.0000
2008-03-28,13750.0000
2008-03-31,13800.0000
2008-04-01,13150.0000
2008-04-02,13300.0000
2008-04-03,13810.0000
2008-04-07,13810.0000
2008-04-08,14250.0000
2008-04-09,13900.0000
2008-04-10,
2008-04-11,13855.0000
2008-04-14,13500.0000
2008-04-15,13050.0000
2008-04-16,
2008-04-17,
2008-04-18,
2008-04-21,
2008-04-22,12380.0000
2008-04-23,
2008-04-24,14320.0000
2008-04-25,14500.0000
2008-04-28,14060.0000
2008-04-29,14150.0000
2008-04-30,14800.0000
2008-05-05,14800.0000
2008-05-06,14900.0000
2008-05-07,
2008-05-08,14000.0000
2008-05-09,
2008-05-12,14100.0000
2008-05-13,
2008-05-14,
2008-05-15,14350.0000
2008-05-16,14200.0000
2008-05-19,14195.0000
2008-05-20,14150.0000
2008-05-21,13500.0000
2008-05-22,13350.0000
2008-05-23,13350.0000
2008-05-26,13000.0000
2008-05-27,12820.0000
2008-05-28,
2008-05-29,12950.0000
2008-05-30,13100.0000
2008-06-02,13300.0000
2008-06-03,13300.0000
2008-06-04,12800.0000
2008-06-05,12800.0000
2008-06-06,12805.0000
2008-06-10,12805.0000
2008-06-11,11450.0000
2008-06-12,
2008-06-13,10750.0000
2008-06-16,
2008-06-17,10725.0000
2008-06-18,10500.0000
2008-06-19,10540.0000
2008-06-20,10670.0000
2008-06-23,10500.0000
2008-06-24,
2008-06-25,
2008-06-26,10940.0000
2008-06-27,10300.0000
2008-06-30,
2008-07-01,9880.0000
2008-07-02,
2008-07-03,9550.0000
2008-07-04,
2008-07-07,
2008-07-08,10380.0000
2008-07-09,10800.0000
2008-07-10,10800.0000
2008-07-11,10550.0000
2008-07-14,10700.0000
2008-07-15,
2008-07-16,9700.0000
2008-07-17,9730.0000
2008-07-18,10080.0000
2008-07-21,
2008-07-22,
2008-07-23,10300.0000
2008-07-24,10705.0000
2008-07-25,10180.0000
2008-07-28,10700.0000
2008-07-29,10370.0000
2008-07-30,10340.0000
2008-07-31,
2008-08-01,
2008-08-04,
2008-08-05,9800.0000
2008-08-06,9980.0000
2008-08-07,10000.0000
2008-08-08,9520.0000
2008-08-11,
2008-08-12,9150.0000
2008-08-13,9100.0000
2008-08-14,9000.0000
2008-08-15,9165.0000
2008-08-18,8800.0000
2008-08-19,8800.0000
2008-08-20,8685.0000
2008-08-21,
2008-08-22,9000.0000
2008-08-25,
2008-08-26,
2008-08-27,8900.0000
2008-08-28,8925.0000
2008-08-29,
2008-09-01,8950.0000
2008-09-02,8750.0000
2008-09-03,8540.0000
2008-09-04,8490.0000
2008-09-05,8200.0000
2008-09-08,8000.0000
2008-09-09,8100.0000
2008-09-10,8200.0000
2008-09-11,7900.0000
2008-09-12,7810.0000
2008-09-16,7810.0000
2008-09-17,7120.0000
2008-09-18,6815.0000
2008-09-19,7800.0000
2008-09-22,8050.0000
2008-09-23,8015.0000
2008-09-24,
2008-09-25,8180.0000
2008-09-26,
2008-10-06,
2008-10-07,
2008-10-08,7350.0000
2008-10-09,
2008-10-10,6715.0000
2008-10-13,6900.0000
2008-10-14,7525.0000
2008-10-15,
2008-10-16,6800.0000
2008-10-17,
2008-10-20,
2008-10-21,
2008-10-22,
2008-10-23,
2008-10-24,
2008-10-27,
2008-10-28,
2008-10-29,
2008-10-30,6100.0000
2008-10-31,6100.0000
2008-11-03,6050.0000
2008-11-04,
2008-11-05,
2008-11-06,
2008-11-07,6250.0000
2008-11-10,
2008-11-11,
2008-11-12,
2008-11-13,
2008-11-14,
2008-11-17,
2008-11-18,
2008-11-19,
2008-11-20,
2008-11-21,
2008-11-24,
2008-11-25,
2008-11-26,
2008-11-27,
2008-11-28,
2008-12-01,
2008-12-02,
2008-12-03,
2008-12-04,
2008-12-05,
2008-12-08,
2008-12-09,
2008-12-10,
2008-12-11,
2008-12-12,
2008-12-15,
2008-12-16,
2008-12-17,
2008-12-18,
2008-12-19,
2008-12-22,
2008-12-23,
2008-12-24,
2008-12-25,
2008-12-26,
2008-12-29,
2008-12-30,
2008-12-31,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-12,
2009-01-13,
2009-01-14,
2009-01-15,
2009-01-16,
2009-01-19,
2009-01-20,
2009-01-21,
2009-01-22,
2009-01-23,
2009-02-02,
2009-02-03,
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-09,
2009-02-10,
2009-02-11,
2009-02-12,
2009-02-13,
2009-02-16,
2009-02-17,
2009-02-18,
2009-02-19,
2009-02-20,
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-16,
2009-03-17,
2009-03-18,
2009-03-19,
2009-03-20,
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-10,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-27,
2009-04-28,
2009-04-29,
2009-04-30,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-11,
2009-05-12,
2009-05-13,
2009-05-14,
2009-05-15,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-25,
2009-05-26,
2009-05-27,
2009-06-01,
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,
2009-06-12,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-22,
2009-06-23,
2009-06-24,
2009-06-25,
2009-06-26,
2009-06-29,
2009-06-30,
2009-07-01,
2009-07-02,
2009-07-03,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-20,
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,
2009-07-31,
2009-08-03,
2009-08-04,
2009-08-05,
2009-08-06,
2009-08-07,
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,
2009-08-14,
2009-08-17,
2009-08-18,
2009-08-19,
2009-08-20,
2009-08-21,
2009-08-24,
2009-08-25,
2009-08-26,
2009-08-27,
2009-08-28,
2009-08-31,
2009-09-01,
2009-09-02,
2009-09-03,
2009-09-04,
2009-09-07,
2009-09-08,
2009-09-09,
2009-09-10,
2009-09-11,
2009-09-14,
2009-09-15,
2009-09-16,
2009-09-17,
2009-09-18,
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,
2009-09-25,
2009-09-28,
2009-09-29,
2009-09-30,
2009-10-09,
2009-10-12,
2009-10-13,
2009-10-14,
2009-10-15,
2009-10-16,
2009-10-19,
2009-10-20,
2009-10-21,
2009-10-22,
2009-10-23,
2009-10-26,
2009-10-27,
2009-10-28,
2009-10-29,
2009-10-30,
2009-11-02,
2009-11-03,
2009-11-04,
2009-11-05,
2009-11-06,
2009-11-09,
2009-11-10,
2009-11-11,
2009-11-12,
2009-11-13,
2009-11-16,
2009-11-17,
2009-11-18,
2009-11-19,
2009-11-20,
2009-11-23,
2009-11-24,
2009-11-25,
2009-11-26,
2009-11-27,
2009-11-30,
2009-12-01,
2009-12-02,
2009-12-03,
2009-12-04,
2009-12-07,
2009-12-08,
2009-12-09,
2009-12-10,
2009-12-11,
2009-12-14,
2009-12-15,
2009-12-16,
2009-12-17,
2009-12-18,
2009-12-21,
2009-12-22,
2009-12-23,
2009-12-24,
2009-12-25,
2009-12-28,
2009-12-29,
2009-12-30,
2009-12-31,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-25,
2010-11-26,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-24,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,
2010-12-31,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-10,
2011-01-11,
2011-01-12,
2011-01-13,
2011-01-14,
2011-01-17,
2011-01-18,
2011-01-19,
2011-01-20,
2011-01-21,
2011-01-24,
2011-01-25,
2011-01-26,
2011-01-27,
2011-01-28,
2011-01-31,
2011-02-01,
2011-02-09,
2011-02-10,
2011-02-11,
2011-02-14,
2011-02-15,
2011-02-16,
2011-02-17,
2011-02-18,
2011-02-21,
2011-02-22,
2011-02-23,
2011-02-24,
2011-02-25,
2011-02-28,
2011-03-01,
2011-03-02,
2011-03-03,
2011-03-04,
2011-03-07,
2011-03-08,
2011-03-09,
2011-03-10,
2011-03-11,
2011-03-14,
2011-03-15,
2011-03-16,
2011-03-17,
2011-03-18,
2011-03-21,
2011-03-22,
2011-03-23,
2011-03-24,
2011-03-25,
2011-03-28,
2011-03-29,
2011-03-30,
2011-03-31,
2011-04-01,
2011-04-06,
2011-04-07,
2011-04-08,
2011-04-11,
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-30,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-04,
2011-07-05,
2011-07-06,
2011-07-07,
2011-07-08,
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,
2011-07-15,
2011-07-18,
2011-07-19,
2011-07-20,
2011-07-21,
2011-07-22,
2011-07-25,
2011-07-26,
2011-07-27,
2011-07-28,
2011-07-29,
2011-08-01,
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-08,
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,
2011-08-19,
2011-08-22,
2011-08-23,
2011-08-24,
2011-08-25,
2011-08-26,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-05,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-13,
2011-09-14,
2011-09-15,
2011-09-16,
2011-09-19,
2011-09-20,
2011-09-21,
2011-09-22,
2011-09-23,
2011-09-26,
2011-09-27,
2011-09-28,
2011-09-29,
2011-09-30,
2011-10-10,
2011-10-11,
2011-10-12,
2011-10-13,
2011-10-14,
2011-10-17,
2011-10-18,
2011-10-19,
2011-10-20,
2011-10-21,
2011-10-24,
2011-10-25,
2011-10-26,
2011-10-27,
2011-10-28,
2011-10-31,
2011-11-01,
2011-11-02,
2011-11-03,
2011-11-04,
2011-11-07,
2011-11-08,
2011-11-09,
2011-11-10,
2011-11-11,
2011-11-14,
2011-11-15,
2011-11-16,
2011-11-17,
2011-11-18,
2011-11-21,
2011-11-22,
2011-11-23,
2011-11-24,
2011-11-25,
2011-11-28,
2011-11-29,
2011-11-30,
2011-12-01,
2011-12-02,
2011-12-05,
2011-12-06,
2011-12-07,
2011-12-08,
2011-12-09,
2011-12-12,
2011-12-13,
2011-12-14,
2011-12-15,
2011-12-16,
2011-12-19,
2011-12-20,
2011-12-21,
2011-12-22,
2011-12-23,
2011-12-26,
2011-12-27,
2011-12-28,
2011-12-29,
2011-12-30,
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-09,
2012-01-10,
2012-01-11,
2012-01-12,
2012-01-13,
2012-01-16,
2012-01-17,
2012-01-18,
2012-01-19,
2012-01-20,
2012-01-30,
2012-01-31,
2012-02-01,
2012-02-02,
2012-02-03,
2012-02-06,
2012-02-07,
2012-02-08,
2012-02-09,
2012-02-10,
2012-02-13,
2012-02-14,
2012-02-15,
2012-02-16,
2012-02-17,
2012-02-20,
2012-02-21,
2012-02-22,
2012-02-23,
2012-02-24,
2012-02-27,
2012-02-28,
2012-02-29,
2012-03-01,
2012-03-02,
2012-03-05,
2012-03-06,
2012-03-07,
2012-03-08,
2012-03-09,
2012-03-12,
2012-03-13,
